epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,pred,true,k
100,2,4,100,100,0.06789611279964447,0.16367684304714203,0.05213448032736778,-0.10532405227422714,0.0,2
100,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.10174272954463959,0.0,2
100,12,4,19,79,0.03010253608226776,0.08984716981649399,0.02904753014445305,0.11532196402549744,0.0,2
100,24,4,9,69,0.03605102002620697,0.08508173376321793,0.037721898406744,0.16478043794631958,0.0,2
200,2,4,200,200,0.04458346590399742,0.12810219824314117,0.033697038888931274,-0.03167401999235153,0.0,2
200,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.10174272954463959,0.0,2
200,12,4,19,79,0.03010253608226776,0.08984716981649399,0.02904753014445305,0.11532196402549744,0.0,2
200,24,4,9,69,0.03605102002620697,0.08508173376321793,0.037721898406744,0.16478043794631958,0.0,2
400,2,4,399,400,0.0310747679322958,0.10023579001426697,0.025896761566400528,0.0545634999871254,0.0,2
400,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.10174272954463959,0.0,2
400,12,4,19,79,0.03010253608226776,0.08984716981649399,0.02904753014445305,0.11532196402549744,0.0,2
400,24,4,9,69,0.03605102002620697,0.08508173376321793,0.037721898406744,0.16478043794631958,0.0,2
500,2,4,498,500,0.03009651228785515,0.09608644992113113,0.02617928571999073,0.07361016422510147,0.0,2
500,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.10174272954463959,0.0,2
500,12,4,19,79,0.03010253608226776,0.08984716981649399,0.02904753014445305,0.11532196402549744,0.0,2
500,24,4,9,69,0.03605102002620697,0.08508173376321793,0.037721898406744,0.16478043794631958,0.0,2
1000,2,4,772,832,0.029836516827344894,0.09330781549215317,0.026920679956674576,0.08873811364173889,0.0,2
1000,6,4,0,60,0.029978863894939423,0.09128502011299133,0.027923859655857086,0.10174272954463959,0.0,2
1000,12,4,19,79,0.03010253608226776,0.08984716981649399,0.02904753014445305,0.11532196402549744,0.0,2
1000,24,4,9,69,0.03605102002620697,0.08508173376321793,0.037721898406744,0.16478043794631958,0.0,2
