epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true,modelo,k,target_date
500,12,2,231,291,628.490478515625,264.9513244628906,493.14093017578125,21.452070236206055,11.892014503479004,19.745820999145508,30.15719223022461,35.327911376953125,GCN,2,2024-05-04
1000,12,2,231,291,628.490478515625,264.9513244628906,493.14093017578125,21.452070236206055,11.892014503479004,19.745820999145508,30.15719223022461,35.327911376953125,GCN,2,2024-05-04
100,24,2,100,100,945.4944458007812,566.4533081054688,757.4837646484375,23.695920944213867,19.072311401367188,23.84836196899414,13.231334686279297,35.327911376953125,GCN,2,2024-05-04
200,24,2,182,200,628.662841796875,264.9847106933594,493.06396484375,21.450977325439453,11.87628173828125,19.74958610534668,30.140172958374023,35.327911376953125,GCN,2,2024-05-04
400,24,2,182,242,628.662841796875,264.9847106933594,493.06396484375,21.450977325439453,11.87628173828125,19.74958610534668,30.140172958374023,35.327911376953125,GCN,2,2024-05-04
500,24,2,182,242,628.662841796875,264.9847106933594,493.06396484375,21.450977325439453,11.87628173828125,19.74958610534668,30.140172958374023,35.327911376953125,GCN,2,2024-05-04
1000,24,2,182,242,628.662841796875,264.9847106933594,493.06396484375,21.450977325439453,11.87628173828125,19.74958610534668,30.140172958374023,35.327911376953125,GCN,2,2024-05-04
100,2,4,100,100,1592.87451171875,1227.6060791015625,1374.5106201171875,30.53825569152832,31.134225845336914,29.389400482177734,-0.09872554987668991,35.327911376953125,GCN,2,2024-05-04
200,2,4,200,200,1586.7894287109375,1221.40234375,1368.6551513671875,30.4384708404541,31.034439086914062,29.28961181640625,0.0010642489651218057,35.327911376953125,GCN,2,2024-05-04
400,2,4,400,400,1574.7069091796875,1209.0823974609375,1357.0303955078125,30.23933982849121,30.835311889648438,29.090484619140625,0.2001902461051941,35.327911376953125,GCN,2,2024-05-04
500,2,4,500,500,1568.7086181640625,1202.9654541015625,1351.260009765625,30.139995574951172,30.735963821411133,28.991138458251953,0.2995365262031555,35.327911376953125,GCN,2,2024-05-04
1000,2,4,1000,1000,1539.129150390625,1172.7962646484375,1322.8175048828125,29.68462371826172,30.2412052154541,28.496376037597656,0.7942983508110046,35.327911376953125,GCN,2,2024-05-04
100,6,4,100,100,1513.2420654296875,1146.0250244140625,1297.789306640625,29.33165740966797,29.798276901245117,28.12789535522461,1.1980113983154297,35.327911376953125,GCN,2,2024-05-04
200,6,4,200,200,1092.1024169921875,713.8715209960938,895.5446166992188,25.202795028686523,21.797698974609375,24.786630630493164,9.390809059143066,35.327911376953125,GCN,2,2024-05-04
400,6,4,302,362,631.3081665039062,261.2911682128906,496.17779541015625,21.562334060668945,11.778639793395996,19.807706832885742,29.963443756103516,35.327911376953125,GCN,2,2024-05-04
500,6,4,302,362,631.3081665039062,261.2911682128906,496.17779541015625,21.562334060668945,11.778639793395996,19.807706832885742,29.963443756103516,35.327911376953125,GCN,2,2024-05-04
1000,6,4,302,362,631.3081665039062,261.2911682128906,496.17779541015625,21.562334060668945,11.778639793395996,19.807706832885742,29.963443756103516,35.327911376953125,GCN,2,2024-05-04
100,12,4,100,100,1402.2344970703125,1031.51220703125,1190.73486328125,28.209075927734375,27.81713104248047,27.031156539916992,3.138854503631592,35.327911376953125,GCN,2,2024-05-04
200,12,4,174,200,630.685546875,261.42327880859375,495.8022766113281,21.557022094726562,11.857325553894043,19.74810028076172,30.177467346191406,35.327911376953125,GCN,2,2024-05-04
400,12,4,174,234,630.685546875,261.42327880859375,495.8022766113281,21.557022094726562,11.857325553894043,19.74810028076172,30.177467346191406,35.327911376953125,GCN,2,2024-05-04
500,12,4,174,234,630.685546875,261.42327880859375,495.8022766113281,21.557022094726562,11.857325553894043,19.74810028076172,30.177467346191406,35.327911376953125,GCN,2,2024-05-04
1000,12,4,174,234,630.685546875,261.42327880859375,495.8022766113281,21.557022094726562,11.857325553894043,19.74810028076172,30.177467346191406,35.327911376953125,GCN,2,2024-05-04
100,24,4,86,100,630.8510131835938,261.6871643066406,495.82855224609375,21.555662155151367,11.861489295959473,19.748746871948242,30.148662567138672,35.327911376953125,GCN,2,2024-05-04
200,24,4,124,184,630.7600708007812,261.5209045410156,495.36279296875,21.543869018554688,11.811317443847656,19.780494689941406,30.025888442993164,35.327911376953125,GCN,2,2024-05-04
400,24,4,124,184,630.7600708007812,261.5209045410156,495.36279296875,21.543869018554688,11.811317443847656,19.780494689941406,30.025888442993164,35.327911376953125,GCN,2,2024-05-04
