epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true
100,2,2,100,100,1336.7611083984375,951.6294555664062,1124.2091064453125,27.59033203125,26.569107055664062,26.436275482177734,4.651421546936035,35.327911376953125
100,6,2,100,100,1274.3485107421875,883.2766723632812,1062.5804443359375,26.976091384887695,25.329736709594727,25.91525650024414,5.963133811950684,35.327911376953125
100,12,2,100,100,1075.4129638671875,664.6209106445312,867.105224609375,25.106714248657227,21.489770889282227,24.333518981933594,10.640412330627441,35.327911376953125
100,24,2,100,100,947.6311645507812,524.9494018554688,742.547607421875,23.839693069458008,19.088150024414062,23.423473358154297,14.205217361450195,35.327911376953125
200,2,2,200,200,1074.215576171875,665.1115112304688,867.2328491210938,25.117645263671875,21.50303077697754,24.361881256103516,10.61197280883789,35.327911376953125
200,6,2,200,200,843.6138916015625,411.1765441894531,642.3701782226562,22.826229095458984,16.748966217041016,22.553239822387695,17.66535186767578,35.327911376953125
200,12,2,200,200,649.0059204101562,189.93589782714844,456.1164245605469,21.551132202148438,9.708292961120605,19.56644630432129,29.277353286743164,35.327911376953125
200,24,2,200,200,634.9337768554688,171.01649475097656,445.1680908203125,21.687423706054688,9.573694229125977,18.5457763671875,33.27056884765625,35.327911376953125
400,2,2,400,400,644.0776977539062,184.11546325683594,453.0102844238281,21.54572296142578,9.477523803710938,19.359729766845703,30.187894821166992,35.327911376953125
400,6,2,400,400,635.710693359375,172.4036865234375,446.72161865234375,21.703922271728516,9.568340301513672,18.598609924316406,33.15264129638672,35.327911376953125
400,12,2,287,347,634.7079467773438,170.81109619140625,445.03106689453125,21.689157485961914,9.58984088897705,18.531558990478516,33.33335494995117,35.327911376953125
400,24,2,215,275,634.85546875,170.84942626953125,445.2737731933594,21.703052520751953,9.628167152404785,18.498228073120117,33.45854187011719,35.327911376953125
500,2,2,500,500,636.2051391601562,172.86134338378906,447.19720458984375,21.6908016204834,9.499653816223145,18.66752815246582,32.90159225463867,35.327911376953125
500,6,2,441,500,635.5457153320312,172.34967041015625,446.6871337890625,21.707366943359375,9.590048789978027,18.58078384399414,33.225887298583984,35.327911376953125
500,12,2,287,347,634.7079467773438,170.81109619140625,445.03106689453125,21.689157485961914,9.58984088897705,18.531558990478516,33.33335494995117,35.327911376953125
500,24,2,215,275,634.85546875,170.84942626953125,445.2737731933594,21.703052520751953,9.628167152404785,18.498228073120117,33.45854187011719,35.327911376953125
1000,2,2,611,671,635.814697265625,172.49810791015625,447.162109375,21.71186637878418,9.586140632629395,18.593244552612305,33.19834518432617,35.327911376953125
1000,6,2,441,501,635.5457153320312,172.34967041015625,446.6871337890625,21.707366943359375,9.590048789978027,18.58078384399414,33.225887298583984,35.327911376953125
1000,12,2,287,347,634.7079467773438,170.81109619140625,445.03106689453125,21.689157485961914,9.58984088897705,18.531558990478516,33.33335494995117,35.327911376953125
1000,24,2,215,275,634.85546875,170.84942626953125,445.2737731933594,21.703052520751953,9.628167152404785,18.498228073120117,33.45854187011719,35.327911376953125
